italian_word;difficulty_score;total_attempts;correct_answers;wrong_answers;wrong_rate_percent;first_try_accuracy_percent;repeated_attempts;sessions_seen;different_days_seen;spelling_error_count;confusion_count;wrong_word_form_count;no_recall_count;unknown_semantic_error_count;recommended_study
Colazione;22.5;8;6;2;25.0;83.33;2;3;2;1;0;0;0;1;Anlamı ve örnek cümleyi yeniden çalış
Significato;22.5;8;6;2;25.0;83.33;2;3;3;1;0;0;0;1;Anlamı ve örnek cümleyi yeniden çalış
Cibo;22.14;7;6;1;14.29;83.33;1;3;2;0;0;0;0;1;Anlamı ve örnek cümleyi yeniden çalış
Di solito;22.14;7;6;1;14.29;83.33;1;3;2;0;0;0;0;1;Anlamı ve örnek cümleyi yeniden çalış
Tra/Fra due anni;21.67;12;8;4;33.33;62.5;4;4;4;4;0;0;0;0;Yazım ve harf dizilimi çalışması
Oggi;20.56;9;8;1;11.11;87.5;1;4;4;0;0;0;0;1;Anlamı ve örnek cümleyi yeniden çalış
Soldi;20.56;9;8;1;11.11;87.5;1;4;3;0;0;0;0;1;Anlamı ve örnek cümleyi yeniden çalış
Sono di;20.56;9;8;1;11.11;87.5;1;4;3;0;0;0;0;1;Anlamı ve örnek cümleyi yeniden çalış
Martedi;19.55;11;10;1;9.09;90.0;1;5;3;0;0;0;0;1;Anlamı ve örnek cümleyi yeniden çalış
Puoi farmi;19.55;11;10;1;9.09;90.0;1;5;1;0;0;0;0;1;Anlamı ve örnek cümleyi yeniden çalış
Quindi;19.55;11;10;1;9.09;90.0;1;5;1;0;0;0;0;1;Anlamı ve örnek cümleyi yeniden çalış
Sbagliato;18.64;11;8;3;27.27;75.0;3;4;4;3;0;0;0;0;Yazım ve harf dizilimi çalışması
Cenare;17.5;8;6;2;25.0;66.67;2;3;2;2;0;0;0;0;Yazım ve harf dizilimi çalışması
Potere;16.54;13;10;3;23.08;70.0;3;5;5;3;0;0;0;0;Yazım ve harf dizilimi çalışması
Spiegare;16.54;13;10;3;23.08;80.0;3;5;1;3;0;0;0;0;Yazım ve harf dizilimi çalışması
In piu;15.56;9;8;1;11.11;87.5;1;4;1;0;1;0;0;0;Karıştırılan kelimeyle karşılaştırmalı çalış
Ciao;15.0;10;9;1;10.0;88.89;1;5;4;0;1;0;0;0;Karıştırılan kelimeyle karşılaştırmalı çalış
Volere;14.87;13;10;3;23.08;70.0;3;5;5;2;0;1;0;0;Yazım ve harf dizilimi çalışması
Mi piace;14.55;11;10;1;9.09;90.0;1;5;3;0;1;0;0;0;Karıştırılan kelimeyle karşılaştırmalı çalış
Rendere;14.55;11;10;1;9.09;90.0;1;5;5;0;1;0;0;0;Karıştırılan kelimeyle karşılaştırmalı çalış
Tornare;13.85;13;12;1;7.69;91.67;1;6;3;0;1;0;0;0;Karıştırılan kelimeyle karşılaştırmalı çalış
Mi dispiace;12.14;14;12;2;14.29;83.33;2;6;3;2;0;0;0;0;Yazım ve harf dizilimi çalışması
Donna;12.14;7;6;1;14.29;83.33;1;3;2;1;0;0;0;0;Yazım ve harf dizilimi çalışması
Lingua;12.14;7;6;1;14.29;83.33;1;3;2;1;0;0;0;0;Yazım ve harf dizilimi çalışması
Stesso;12.14;7;6;1;14.29;83.33;1;3;1;1;0;0;0;0;Yazım ve harf dizilimi çalışması
Assenza;10.56;9;8;1;11.11;87.5;1;4;4;1;0;0;0;0;Yazım ve harf dizilimi çalışması
Azione;10.56;9;8;1;11.11;87.5;1;4;4;1;0;0;0;0;Yazım ve harf dizilimi çalışması
Cosi cosi;10.56;9;8;1;11.11;87.5;1;4;3;1;0;0;0;0;Yazım ve harf dizilimi çalışması
Indicare;10.56;9;8;1;11.11;87.5;1;4;4;1;0;0;0;0;Yazım ve harf dizilimi çalışması
Perche;10.56;9;8;1;11.11;87.5;1;4;3;1;0;0;0;0;Yazım ve harf dizilimi çalışması
Aggiungere;9.55;11;10;1;9.09;90.0;1;5;1;1;0;0;0;0;Yazım ve harf dizilimi çalışması
Pensare;9.55;11;10;1;9.09;90.0;1;5;4;1;0;0;0;0;Yazım ve harf dizilimi çalışması
Presente;9.55;11;10;1;9.09;90.0;1;5;4;1;0;0;0;0;Yazım ve harf dizilimi çalışması
Sentire;9.55;11;10;1;9.09;90.0;1;5;3;1;0;0;0;0;Yazım ve harf dizilimi çalışması
A Domani;0.0;9;9;0;0.0;100.0;0;5;4;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
A volte;0.0;6;6;0;0.0;100.0;0;3;2;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Adesso;0.0;8;8;0;0.0;100.0;0;4;4;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Altro;0.0;10;10;0;0.0;100.0;0;5;4;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Anche;0.0;10;10;0;0.0;100.0;0;5;3;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Anche se;0.0;10;10;0;0.0;100.0;0;5;1;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Ancora;0.0;10;10;0;0.0;100.0;0;5;3;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Andare;0.0;10;10;0;0.0;100.0;0;5;5;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Anno;0.0;8;8;0;0.0;100.0;0;4;4;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Arrivare;0.0;8;8;0;0.0;100.0;0;4;3;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Avere;0.0;10;10;0;0.0;100.0;0;5;5;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Benvenuto;0.0;8;8;0;0.0;100.0;0;4;4;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Bere;0.0;12;12;0;0.0;100.0;0;6;3;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Bisogno;0.0;10;10;0;0.0;100.0;0;5;4;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Casa;0.0;6;6;0;0.0;100.0;0;3;2;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Chiedere;0.0;8;8;0;0.0;100.0;0;4;3;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Citta;0.0;6;6;0;0.0;100.0;0;3;2;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Corpo;0.0;6;6;0;0.0;100.0;0;3;2;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Corso;0.0;10;10;0;0.0;100.0;0;5;4;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Cortese;0.0;8;8;0;0.0;100.0;0;4;4;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Dai;0.0;10;10;0;0.0;100.0;0;5;1;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Difficile;0.0;12;12;0;0.0;100.0;0;6;5;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Dire;0.0;10;10;0;0.0;100.0;0;5;1;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Diverso;0.0;10;10;0;0.0;100.0;0;5;5;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Domani;0.0;8;8;0;0.0;100.0;0;4;4;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Domenica;0.0;10;10;0;0.0;100.0;0;5;3;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Dopo;0.0;8;8;0;0.0;100.0;0;4;4;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Dormire;0.0;12;12;0;0.0;100.0;0;6;4;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Dovere;0.0;10;10;0;0.0;100.0;0;5;5;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Due anni fa;0.0;8;8;0;0.0;100.0;0;4;4;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Durante;0.0;10;10;0;0.0;100.0;0;5;4;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Esempio;0.0;10;10;0;0.0;100.0;0;5;3;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Essere;0.0;8;8;0;0.0;100.0;0;4;4;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Estata;0.0;10;10;0;0.0;100.0;0;5;3;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Fare;0.0;11;11;0;0.0;100.0;0;6;5;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Felice;0.0;10;10;0;0.0;100.0;0;5;5;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Fine Settimana;0.0;8;8;0;0.0;100.0;0;4;4;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Fino;0.0;10;10;0;0.0;100.0;0;5;1;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Frase;0.0;10;10;0;0.0;100.0;0;5;3;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Generalmente;0.0;8;8;0;0.0;100.0;0;4;3;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Giovedi;0.0;10;10;0;0.0;100.0;0;5;3;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Ieri;0.0;8;8;0;0.0;100.0;0;4;4;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Il primo;0.0;10;10;0;0.0;100.0;0;5;3;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Iniziare;0.0;9;9;0;0.0;100.0;0;5;4;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Insieme;0.0;4;4;0;0.0;100.0;0;2;2;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
İl piu;0.0;2;2;0;0.0;100.0;0;1;1;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Lunedi;0.0;6;6;0;0.0;100.0;0;3;3;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Luogo;0.0;4;4;0;0.0;100.0;0;2;2;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Mai;0.0;6;6;0;0.0;100.0;0;3;2;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Mattina;0.0;8;8;0;0.0;100.0;0;4;3;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Mercoledi;0.0;10;10;0;0.0;100.0;0;5;3;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Mese;0.0;8;8;0;0.0;100.0;0;4;4;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Momento;0.0;6;6;0;0.0;100.0;0;3;2;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Notte;0.0;8;8;0;0.0;100.0;0;4;3;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Occhio;0.0;6;6;0;0.0;100.0;0;3;2;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Ovviamente;0.0;10;10;0;0.0;100.0;0;5;1;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Parlare;0.0;10;10;0;0.0;100.0;0;5;5;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Parola;0.0;6;6;0;0.0;100.0;0;3;2;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Portare;0.0;10;10;0;0.0;100.0;0;5;4;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Prendere;0.0;10;10;0;0.0;100.0;0;5;5;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Prima;0.0;8;8;0;0.0;100.0;0;4;4;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Quando;0.0;8;8;0;0.0;100.0;0;4;3;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Ricevere;0.0;8;8;0;0.0;100.0;0;4;4;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Sapere;0.0;10;10;0;0.0;100.0;0;5;5;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Scorsa;0.0;10;10;0;0.0;100.0;0;5;1;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Sempre;0.0;6;6;0;0.0;100.0;0;3;2;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Senza;0.0;10;10;0;0.0;100.0;0;5;5;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Settimana;0.0;8;8;0;0.0;100.0;0;4;4;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Sogno;0.0;10;10;0;0.0;100.0;0;5;4;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Solo;0.0;8;8;0;0.0;100.0;0;4;3;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Spesso;0.0;6;6;0;0.0;100.0;0;3;2;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Strada;0.0;10;10;0;0.0;100.0;0;5;4;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Tempo;0.0;8;8;0;0.0;100.0;0;4;4;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Tenere;0.0;8;8;0;0.0;100.0;0;4;3;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Uomo;0.0;6;6;0;0.0;100.0;0;3;2;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Venerdi;0.0;10;10;0;0.0;100.0;0;5;3;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Vita;0.0;10;10;0;0.0;100.0;0;5;5;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Vivere;0.0;10;10;0;0.0;100.0;0;5;5;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
Vorrei;0.0;10;10;0;0.0;100.0;0;5;5;0;0;0;0;0;"Güçlü; normal tekrar yeterli"
