İtalyanca Kelime;İngilizcesi;Türkçesi;İtalyanca Anlamı;İtalyanca Cümle -1;Cümle -1 Anlam;İtalyanca Cümle -2;Cümle -2 Anlam
Avere;To have;Sahip olmak;Possedere qualcosa o trovarsi in una certa condizione;Ho una macchina fotografica;I have a camera;Ho tempo quindi vado al bar;I have time, that’s why Im going cafe
Fare;To do/ to make;Yapmak;Compiere un’azione o creare qualcosa ;Nel tempo libero faccio fotografie;In my free time I take photographs ;Che cosa fai questo fine settimana;What are you doing this weekend
Andare;To go;Gitmek;Spostarsi da un luogo a un altro;Voglio andare in Italia;I want to go to Italy;;
Volere;To want;İstemek;Desiderare qualcosa o desiderare fare qualcosa;Voglio imparare l’italiano;I want to learn italian;;
Potere ;Can/ to be able to;Yapabilmek;Avere la possibilita o la capacita di fare qualcosa;Posso parlare un podi italiano;I can speak a little italian;;
Dovere;Must/ to have to;Zorunda olmak;Avere la necessita o l’obbligo di fare qualcosa ;Devo studiare oggi;I have to study today;;
Parlare;To speak;Konuşmak;Comunicare con qualcuno usando le parole ;Parlo italiano con i miei amici;I speak italian with my friends;;
Sapere;To know;Bilmek;Avere conoscenza di un fatto o sapere fare qualcosa;Non so parlare bene italiano;I dont know how to speak Italian well;;
Prendere;To take/to get;Almak/Binmek;Ricevere, afferrare o usare un mezzo di trasporto ;Prendo l’autobus ogni mattina;I take the bus every morning;;
Mezzo di trasporto;Transportation ;Ulaşım Aracı;Transferimento di cose o persone da un posto a un altro effettuato in vari modi e con vari mezzi;Il treno e’ il mio mezzo di trasporto preferito;Train is my favorite transportation vehicle;;
Senza;Without;-Sız/ -siz;Indica l’assenza di una persona  o di una cosa o di un’azione ;Non posso vivere senza la mia famiglia;I cannot live without my family;Vorrei un caffe senza zucchero;I would like a caffe without sugar
Vorrei;I’d like;İsterdim / istiyorum;Forma cortese del verbo “volere”;Vorrei un biglietto per roma;I’d like a ticket for Rome;;
Vivere;To live;Yaşamak;Esere in vita, avere vita;Suo fratello adesso vive a Londra;His brother now lives in London;;
Vita;Life;Hayat ;Il periodo durante il quale una persona, un animale o un organismo vive;Ha avuto una vita difficile, tra Mattie e problemi familiari;I’ve had a difficult life, with illnesses and family problems;La fotografia e’ una parte importante della mia vita;Photography is a important part in my life
Cambiare;To change;Değiştirmek / Değişmek;Rendere qualcosa diverso oppure diventare diverso;Voglio cambiare la mia vita;I want to change my life;;
Felice;Happy;Mutlu;Che prova felicita’, gioia o soddisfazione;Sono felice quando viaggio con la mia ragazza;I am happy when I travel with my girlfriend;;
Facile;Easy;Kolay;Che non richiede molto sforzo o difficolta’;Questo esercizio e’ facile;This exercise is easy;;
Diverso;Different/various;Farklı/Çeşitli;Che si scosta per natura, aspetto, qualità da un altro oggetto, o che e’ addirittura un’Altra cosa;Ho visitato diverso città in Italia;I visited various cities in Italy;;
Rendere;To make/To render;Hale getirmek;Fare diventare qualcuno o qualcosa in un certo modo;Voglio rendere felice la mia ragazza;I want to make my girlfriend happy;;
Qualcosa;Something;Bir şey;Una cosa non specificata o non conosciuta;Vorrei mangiare qualcosa;I would like to eat something;;
Difficile;Difficult/Hard;Zor;Che richiede molto impegno, capacita o attenzione;Parlare italiano non e difficile;Speaking italian is not difficult;;
Cortese;Polite/ Courteous;Kibar/Nazik;Che si comparta con gentilezza, rispetto ed educazione;Il cameriere e molto cortese;The waiter is very polite;;
Assenza ;Absence;Yokluk / Bulunmama;La condizione di una persona o di una cosa che non e presente;Durante la mia assenza, nessuno ha chiamato;During my absence, nobody called;;
Indicare;To indicate / To point out;Göstermek / Belirtmek;Mostrare, segnalare o comunicare qualcosa in modo chiaro;Puoi indicarmi la strada per la stazione ;Can you show me the way to the station;;
Azione;Action;Aksiyon;La capacita umana volta a modificare il reale a fini economici, politici, etici;Ti piacciono i film d’azione;Do you like action movies;Meno parole e piu’ azione;Less talk and more action
Ricevere;To recieve;Almak/ Teslim almak;Ottenere o accettare qualcosa che viene dato, inviato o comunicato da qualcuno;Ho ricevuto un messaggio dalla mia ragazza;I received a message from my girlfriend;;
Sbagliato;Wrong/Incorrect;Yanlış / Hatalı;Che non e’ corretto o che contiene un errore;Ho scritto il numero sbagliato;I wrote the wrong number;;
Benvenuto;Welcome;Hoş geldin ;Espressione usata per accogliere una persona con gentilezza;Benvenuto a casa nostra;Welcome to our home;;
Presente;Present / Current;Mevcut / Şimdiki / Hazır bulunan;Che si trova in un luogo o che esiste nel momento attuale;Oggi tutti gli studenti sono presenti;Today all the students are present;;
Durante;During;Sırasında / Boyunca;Nel corso di un periodo di tempo o di un evento;Durante il viaggio ho fatto molte fotografie;During the trip, I took many photographs;;
Strada;Road / Street / Way;Yol / Cadde / Sokak;Spazio utilizzato per spostarsi a piedi o con un veicolo;Questa strada porta alla stazione;This road leads to the station;;
Corso;Course / Class;Kurs / Ders;Un insieme di lezioni organizzate per imparare una materia o sviluppare una capacita;Sto seguendo un corso di italiano online;Im taking an online italian course ;;
Portare;To bring / To carry / To take;Getirmek / Taşımak / Götürmek;Transportare una persona o una cosa da un luogo an altro;Porto sempre la macchina fotografica con me;I always bring my camera with me;;
Trovare ;To find;Bulmak;Scoprire o incontrare una persona o una cosa che si stava cercando;Non riesco a trovare le mie chiavi;I can’t find my keys;;
Pensare;To think;Düşünmek;Usare la mente per formare idee, opinioni o prendere decisioni;Penso spesso al mio futuro;I often think about mu future;;
Bisogno;Need;İhtiyaç;La necessita di avere o fare qualcosa;Ho bisogno di più tempo per studiare;I need more time to study;;
Sogno;Dream;Hayal;Un desiderio importante che una persona spera di realizzare, oppure un’esperienza vissuta mentre dorme;Il mio sogno e vivere in Italia;My dream is to live in Italy;;
Altro;Other / Another / More;Başka / Diğer / Bir tane daha;Indica una persona o una cosa diversa oppure aggiuntiva rispetto a quella già menzionata;Vorrei un altro caffe, per favore;I’d like another coffee, please;;
Dormire;To sleep;Uyumak;Riposare con gli occhi chiusi, generalmente durante la notte;Di solito dormo otto ore ogni note;I usually sleep eight hours every night;;
Tenere;To Hold / To Keep;Tutmak / korumak;Prendere in mano qualcosa;Puoi tenere la mia borsa;Can you hold my bag;;
Mano;Hand ;El;Parte del corpo che si trova alla fine del braccio e serve per prendere o toccare le cose;Con la chitarra in mano;With the guitar in hand;;
Generalmente;Generally / usually;Genellikle;Nella maggior parte dei casi o delle situazioni;Generalmente studio italiano la sera;I generally study italian in the evening;;
Solo;Only / Alone;Sadece / Yalnız;Senza altre persone oppure limitatamente a una cosa;Oggi sono solo a casa;Today I am alone at home;;
İl piu;The most;En / En Çok;Indicare il grado più alto di una qualità;Questo esercizio e il più difficile ;This exercise is the most difficult;;
Allo stesso tempo;At the same time;Aynı zamanda;Nello stesso momento contemporaneamente;Studio e lavoro allo stesso tempo;I study and work at the same time;;
Soldi ;Money ;Para;Comprare prodotti e pagare servizi ;Non ho abbastanza soldi per viaggiare ;I don’t have enough money to travel;;
Perche ;Why / Because ;Neden / Çünkü;Parola usata per chiedere o spiegare il motivo di qualcosa;Studio italiano perche andare in Italia;I study italian because I want to go to Italy;;
Quando ;When;Ne zaman / -dığında;Chiedere o indicare il momento in cui accade qualcosa;Quando vuoi mangiare e dove;When do you want to eat and where;;
Arrivare ;Arrive ;Varmak / Ulaşmak;Raggiungere un luogo al termine di un viaggio o di uno spostamento;Arrivo alla stazione alle nove;I arrive at the station at nine;;
Chiedere ;To ask / To request;Sormak / Rica etmek;Fare una domanda o domandare qualcosa a qualcuno ;Vorrei chiedere un’informazione;I’d like to ask for some information;;
Cosi cosi ;So-so;Şöyle böyle / Eh işte;Usata per dire che qualcosa non va ne bene ne male;Come stai? Cosi cosi ;How are you? So-so;;
Mattina ;Morning;Sabah ;La prima parte della giornata, dal risveglio fino a mezzogiorno;Ogni mattina bevo un caffe;Every morning I drink a coffee;;
Notte ;Night ;Gece;La parte della giornata compresa tra sera e il mattino ;Di notte dormo circa otto ore;At night I sleep for about eight hours;;
Sono di;I am from;….liyim / … denim;Indicare la propria città o il proprio luogo di origine ;Sono di Lüleburgaz ma vivo a edirne;Im from Lüleburgaz but live in edirne;;
Lavorare;To work;Çalışmak ;Svolgere un’attività professionale o impegnarsi in un compito ;Vorrei lavorare nel settore dei dati ;I’d like to work in the data field;;
Mi piace;I like ;Hoşuma gidiyor / seviyorum ;Dire che una persona, una cosa o un’attività e’ gradita ;Mi piace fare fotografie quando viaggiare;;;
Mi dispiace;I’m sorry;Üzgünüm ;chiedere scusa o mostrare dispiacere ;Mi dispiace, oggi non posso venire;I’m sorry I can’t come today;;
Tornare;To return / to come back;Dönmek / geri gelmek;Andare di nuovo in un luogo in cui si era già stati;Torno a casa dopo il lavoro;I return home after the work;;
Bere ;To drink;İçmek ;Prendere un luquido attraverso la bocca;Bevo molta acqua durante il giorno ;I drink a lot of water during the day;;
Comune;Common;Yaygın / Ortak;Che appartiene a più persone o che si trova frequentemente;E’ un  errore molto comune tra i principianti;It is a very common mistake among beginners;;
Lingua;Language / Tongue;Dil;"Sistema di parole e regole usato dalle persone per comunicare; indica anche l’organo presene nella bocca";L’italiano e’ una lingua molto bella;Italian is a very beautiful language;;
Corpo;Body;Vücut / Beden;L’insieme delle parti fisiche che formano una persona o un animale;E’ importante prendersi cura del proprio corpo;It’s important to take care of your body;;
Aspetto ;Appearance / Aspect;Görünüş / Özellik;Il modo in cui una persona o una cosa appare,  oppure una particolare caratteristica di una situazione;L’aspetto più importante e’ parlare senza paura;The most important aspect is speaking without fear;;
Sempre ;Always;Her zaman;In ogni momento o in tutte le occasioni;A colazione bevo sempre il caffe;In breakfast I always drink coffee;;
Spesso;Often;Sıklıkla;Molte volte o con grande frequenza;Vado spesso in piscina;I often go to swimming pool;;
Di solito;Usually;Genlelde;Nella maggior parte delle situazioni o delle occasioni;Di solito ceno verso le 19.30;I usually have dinner around 7.30 pm;;
A volte;Sometimes;Bazen;In alcune occasioni, ma non sempre;A volte viaggio con la mia ragazza nel fine settimana;Sometimes I travel with my girlfriend at the weekend;;
Mai;Never / Ever;Asla / Hiç;"In nessun momento; nelle domande puo significare “in qualche momento”";Non bevo mai il caffe di notte;I never drink coffee at night;;
Colazione;Breakfast;Kahvaltı;Il primo pasto della giornata, consumato generalmente al mattino;Faccio colazione ogni mattina alle otto;I have breakfast every morning at eight;;
Cibo;Food;Yiyecek / Yemek;Tutto cio che si magia per nutrire il corpo;Mi piace molto il cibo italiano;I really like italian food;;
Cenare;To have dinner;Akşam yemeği yemek;Mangiare il pasto principale della sera;Di solito ceno con la mia famiglia;I usually have dinner with my family;;
Donna;Woman;Kadın;Una persona adulta di sesso femminile;Quella donna e’ molto gentile;That woman is very kind;;
Uomo;Man;Erkek / Adam;Una persona adulta di sesso maschile;Quell’uomo lavora in un ristorante;That man works in a restaurant;;
Casa;House / Home;Ev / Yuva;Il luogo in cui una persona vive;Oggi rimango a casa;Today I stay at home;;
Occhio;Eye;Göz;L’organo del corpo usato per vedere;Ho qualcosa nell’occhio ;I have something in my eye;;
Momento;Moment;An / Zaman;Un periodo di tempo molto breve oppure un punto preciso nel tempo;In questo momento sto studiando italiano;At this moment, I am studying italian;;
Parola;Word;Kelime / Söz;Un insieme di suoni o lettere che ha un significato;Non conosco questa parola italiana;I dont know this italian word;;
Citta;City;Şehir;Un luogo abitato da molte persone, con case, strade, negozi e servizi;Roma e’ una città molto bella;Rome is a very beautiful city;;
Voce;Voice;Ses;Il suono prodotto da una persona quando parla, canta o grida;Questa cantante ha una voce bellissima;This singer has a beautiful voice;;
Acqua;Water;Su;Un liquido trasparente, senza colere ne odore, necessario per la vita ;Senza acqua la vita non e’ possible;Life cannot exist without water;;
Gente;People;İnsanlar;Un insieme di persone considerate come un gruppo;C’e’ molta gente in questa strada;There are many people on this street;;
Forza;Strength / Force;Güç / Kuvvet;La capacita fisica o mentale di affrontare uno sforzo o una difficolta;Non ho la forza di lavorare oggi;I don’t have the strength to work today;;
Mare;Sea;Deniz;Una grande distesa di acqua salata;In estate mi piace andare al mare;In summer, I like going to the sea;;
Ragione;Reason / Right;Sebep / Haklılık;Il motivo per cui succede qualcosa, può anche indicare che una persona ha un’opinione corretta;Hai ragione, questa esercizio e’ difficile;You are right, this exercise is difficult;;
Sole;Sun;Güneş;La stella che illumina e riscalda la terra;Oggi c’e’ il sole e fa caldo;Today it is sunny and warm;;
Paura;Fear;Korku;Una sensazione provata davanti a un pericolo reale o immaginato;Ho paura di parlare italiano e fare errori ;I am afraid of speaking italian and making mistake;;
Il pasto;Meal;Öğün / Yemek;Il cibo consumato in un determinato momento della giornata;La colazione e’ il primo pasto della giornata;Breakfast is the first meal of the day;;
Vedere;To see;Görmek;Percepire qualcuno o qualcosa con gli occhi;Voglio vedere Roma e Firenze;I want to see Rome and Florence;;
Provare;To try / To feel;Denemek / Hissetmek;Tentare di fare qualcosa oppure sentire un’emozione o una senzazione;Voglio provare a parlare italiano senza paura;I want to try speaking italian without fear;;
Conoscere;To know / to meet;Tanımak / Tanışmak;Avere familiarità con una persona, un luogo o un argomento;Lui conosce tre lingue straniere;He knows three foreign languages;;
Principianti;Beginners;Başlangıç seviyesindekiler;Persone che hanno appena iniziato a imparare o fare qualcosa;Questo corso e’ adatto ai principianti;This course is suitable for beginners;;
Insieme;Together;Birlikte;Con un’altro persona o con altre persone, nello stesso luogo o nella stessa attività;Studiamo italiano insieme ogni sera;We study Italian together every evening;;
Rimanere;To stay / To remain;Kalmak;Continuare a essere in un luogo o in una situazione senza andare via;Questo fine settimana voglio rimanere a casa;This weekend, I want to stay at home;;
Luogo;Place / Location;Yer / mekan;Uno spazio o una posizione in cui si trova o accade qualcosa;Questo e’ un luogo molto tranquillo;This is a very peaceful place;;
Significato;Meaning;Anlam ;L’idea o il concetto espresso da una parola, una frase o un simbolo;Non conosco il significato di questa parola;I don't know the meaning of this word;;
Lunedi;Monday;Pazartesi;İl primo giorno della settimana lavorativa, dopo la domenica;Lunedì inizio u nuovo corso di italiano;On Monday I start a new italian course;;
Martedi;Tuesday;Salı;Il giorno della settimana che viene dopo lunedì;Martedì lavoro fino alle sei;On Tuesday I work until six;;
Mercoledi;Wednesday;Çarşamba;Il giorno della settimana che viene dopo martedì;Mercoledì studio italiano con un amico;On Wednesday, I study Italian with a friend;;
Giovedi;Thursday;Perşembe;Il giorno della settimana che viene dopo mercoledì;Giovedì voglio andare al cinema;On Thursday I want to go to the cinema;;
Venerdi;Friday;Cuma;Il giorno della settimana che viene dopo giovedì e prima del fine settimana;Venerdì sera ceno con la mia ragazza;On Friday evening I have dinner with my girlfriend;;
Sabato;Saturday;Cumartesi;Il giorno della settimana che viene dopo venerdì;Sabato di solito faccio fotografie;On Saturday, I usually take photographs;;
Domenica;Pazar;Pazar;L’ultimo giorno della settimana generalmente dedicato al riposso;Domenica rimango a casa con la mia famiglia;On Sunday, I stay at home with my family;;
Anche;Also / Too / Even;Ayrıca / De, da / Bile;Per aggiungere una persona, una cosa o un’informazione a cio che e’ già stato detto;Anche io voglio imparare il russo ;I also want to learn italian;;
Ancora;Still / Again / More;Hala / Tekrar / Daha;Per indicare che una situazione continua, che un’azione si ripete o che si desidera una quantità aggiuntive;Sto ancora studiando italiano;I am still studying italian;;
Il primo;The first / First course;Birinci / İlk / İlk yemek;"La persona o la cosa che viene prima di tutte le altre; al ristorante può indicare il primo piatto";Questo e’ il mio primo giorno di corso;This is my first day of the course;;
Estata;Summer;Yaz;La stagione piu calda dell’anno, compresa tra la primavera e l’autunno;In estate mi piace andare al mare;In summer, I like going to the seaside;;
Fa caldo;It is Hot;Hava sıcak;Espressione usata per dire che la temperature e’ alta;Oggi fa molto caldo, quindi bevo molta acqua;Today it’s very hot, so I drink a lot of water;;
Sentire;To hear / To feel;Duymak / Hissetmek;Percepire un suono, una sensazione, un’emozione o un odore;Non riesco a sentire bene la tua voce;I can't hear your voice well;;
Frase;Sentence / Phrase;Cümle / İfade;Un insieme di parole che esprime un significato completo;Provo a scrivere una frase in italiano;I try to write a sentence in italian;;
Esempio;Example;Örnek;Per spiegare o mostrare meglio qualcosa ;Puoi farmi un esempio per favore;Can you give me an example, please;;
Stesso;Same;Aynı ;Indica una persona o una cosa identica oppure Gia menzionata;Studiamo nello stesso corso di italiano;We study in the same italian course;;
In piu;In addition / More;Ayrıca / Ek olarak;Per aggiungere qualcosa a cio che e’ già presente o detto;Studio italiano e, in piu, ascolto podcast ogni giorno;I study italian and in addition I listen to podcasts every day;;
Anche se;Even if / Although;Olsa bile / Her ne kadar;Introdurre un fatto che non cambia il risultato principale;Anche se sono stanco, studio italiano e inglese;Even though I am tired, I study italian and English;;
Scorsa ;Last / Previous;Geçen / Önceki;Indicare un periodo di tempo precedente;L’estate scorsa sono andato in Cappadocia;Last summer, I went to Cappadocia;;
Semplice;Simple / Easy;Basit / Sade;Che e’ facile da capire o fare e non e’ complicato;Questa frase e’ semplice da capire;This sentence is simple to understand;;
Ovviamente;Obviously / Of course;Açıkçası / Elbette;In modo evidente o come e’ naturale aspettarsi;Ovviamente voglio visitare Roma quando andrò in Italia;Of course, I want to visit Rome when I go to Italy;;
Quindi;So / Therefore / Then;Bu yüzden / dolayısıyla / O halde;Indicare una conseguenza o una conclusione;Sono stanco, quindi rimango a casa;I am tired, so I am staying at home;;
Quanto;How much / How many / As much as;Ne kadar / Kaç tane;Chiedere o indicare una quantità, una durata o un grado;Quanto costa questo corso di italiano;How much does this italian course cost;;
Sperare;To hope;Ummak / Ümit etmek;Desiderare che qualcosa accada o che una situazione abbia un risultato positivo;Spero di andare in Italia l’anno prossimo;I hope to go to Italy next year;;
Fino;Until / Up to / As far as;-e kadar / -a kadar;Indica il limite di un periodo di tempo, di una quantità o di una distanza;Lavoro fine alle sei e poi torno a casa;I work until six then I return home;;
Aggiungere;To add;Eklemek;Mettere qualcosa in piu insieme a cio che e’ già presente ;Vorrei aggiungere una nuova parola alla mia lista;I would like to add a new word to my list;;
Dire;To say / To tell;Söylemek / Demek;Esprimere qualcosa usando le parole;Puoi dire questa frase piu lentamente;Can you say this sentence more slowly;;
Sensazione;Feeling / Sensation;His / Duygu / İzlenim;Una percezione fisica o emotiva provata da una persona;Ho una bella sensazione quando parlo italiano ;I have a good feeling when I speak italian;;
Non riesco;I can’t manage / Im unable;Başaramıyorum / Yapamıyorum;Quando non si e’ capaci di fare qualcosa, nonostante un tentativo;Non riesco a capire questa frase;I can’t understand this sentence;;
Spiegare;To explain;Açıklamak;Rendere qualcosa chiaro e comprensibile attraverso parole o esempi ;Puoi spiegare il significato di questa parola;Can you explain the meaning of this word;;
Puoi farmi;Can you make/do … for me ;Bana … yapabilir misin;Chiedere a qualcuno di fare qualcosa per chi parla;Puoi farmi un favore per favore;Can you make a favor for me please;;
Dai;Come on / Go on;Haydi / Hadi ama;Per incoraggiare, convincere o mostrare sorpresa;Dai, andiamo al mare;Come on, Let’s go to the seaside;;
Camminare;To walk;Yürümek;Spostarsi a piedi da un luogo a un altro;Mi piace camminare per la città;I like walking around the city;Ogni mattina cammino per trenta minuti;Every morning I walk for thirty minutes
Contento;Happy / Pleased;Mutlu / Memnun;Che prova felicita o soddisfazione per qualcosa;Sono contento di studiare italiano ogni giorno;I am happy to study italian every day;;
Finalmente;Finally;Sonunda;Dopo molto tempo, attesa o difficolta;Finalmente riesco a capire questa frase;Finally, I can understand this sentence;;
Seconde me;In my opinion;Bence / Bana göre;Presentare la propria opinione;Secondo me, L’italiano e’ una lingua molto bella;In my opinion Italian is a very beautiful language;;
Non lo so;I don’t know;Bilmiyorum;Quando non si conosce la risposta o un’informazione;Non lo so, devo pensarci;I don't know, I have to think about it;;
Il migliore;The best;En iyi;La persona o la cosa considerata superiore a tutte le altre;Questo e’ il migliore ristorante della città;This is the best restaurant in the city;;
E poi;And then / And also;Ve sonra / ayrıca;Per aggiungere un fatto o indicare cio che accade successivamente;Prima studio italiano e poi guardo un film ;First I study Italian and then I watch a movie;;
Piu o meno;More or less / approximately;Aşağı yukarı / az çok;Per indicare una quantita o una situazione non precisa;Studio italiano piu o meno un’ora al giorno;I study italian for approximately one hour a day;;
La vista;View / Sight;Manzara / Görme duyusu;Cio che si puo vedere da un luogo oppure la capacita di vedere con gli occhi;La vista dalla camera e bellissima;The view from the room is beautiful;;
Triste;Sad;Üzgün / Hüzünlü;Che prova o esprime tristezza e mancanza di felicita;Sono triste perche la vacanza e finita;I am sad because the vacation is over;;
Comunque ;Anyway / However / In any case;Her neyse / Yine de / Her durumda;Parola usata per continuare un discorso cambiare argomento o indicare che qualcosa resta vero nonostante una difficolta;Sono stanco ma comunque voglio uscire ;I am tired but I still want to go out;;
Allora;So / Then / Well;O halde / O zaman / Peki;Parola usata per indicare una conseguenza, iniziare un discorso o riferirsi a un momento passato;Allora, che cosa vuoi fare oggi;So what do you want to do today;;
Velocemente;Quickly / Fast;Hızlıca;In modo rapido, usando poco tempo;Non riesco a parlare italiano velocemente;I can’t speak italian quickly;;
Innanzitutto;First of all;Öncelikle / Her şeyden önce;Per introdurre la prima cosa importante da dire o fare;Innanzitutto, devo imparare le parole piu comuni;First of all, I have to learn the most common words;;
Come sempre;As always;Her zamanki gibi;Espressione usata per indicare che qualcosa accade nel modo abituale;Come sempre, bevo un caffe dopo colazione;As always, I drink a coffee after breakfast;;
Migliorare;To improve. / To get better;Geliştirmek / iyileştirmek;Rendere qualcosa migliore oppure diventare piu bravo o in condizioni migliori;Voglio migliorare il mio italiano ogni giorno;I want to improve my italian every day;;
Fa freddo;It is cold;Hava soğuk;Espressione usata per dire che la temperature e bassa;Oggi fa freddo, quindi rimango a casa;Today it is cold, so I am staying at home;;
Ascoltare;To listen;Dinlemek;Udire con attenzione, prestare orecchio e accogliere consigli o preghiere;Mi faccia ascoltare il suo battito cardiaco;Let me listen to your heart beat;;
Modo;Way / Manner;Yol / Biçim / Yöntem;La maniera in cui si fa, si dice o si organizza qualcosa;Cerco un modo semplice per imparare i’italiano;I am looking for a simple way to learn italian;;
Desiderare;To desire / To wish;Arzulamak / Dilemek / İstemek;Volere fortemente qualcosa o sperare che qualcosa accada;Desidero visitare l’Italia e parlare con la gente del posto;I wish to visit Italy and speak with local people;;
Quantita;Quantity / Amount;Miktar;La misura o il numero di persone, cose o sostanze presenti;Bevo una grande quantity d’acqua durante il giorno;I drink a large amount of water during the day;;
Distanza;Distance;Mesafe / Uzaklık;Lo spazio che separa due persone, luoghi o oggetti;La stazione e’ a poca distanza da casa mia;The station is a short distance from my house;;
Mostrare;To show;Göstermek ;Fare vedere qualcosa a qualcuno oppure presentarlo in modo chiaro;Puoi mostrarmi la strada per il centro;Can you show me the way to the city center;;
Convincere;To convience;İkna etmek;Fare in modo che qualcuno accetti un’idea o decida di fare qualcosa;Ho convinto il mio amico a studiare italiano con me ;I convinced my friend to study italan with me;;
Lentamente ;Slowly;Yavaşça;In modo lento, senza fretta o con poca velocità;Puoi parlare piu lentamente per favore;Can you speak more slowly please;;
Nuovo ;New;Yeni;Che esiste, e’ stato creato o e’ stato ottenuto da poco;Ho comprato una nuovo macchina fogotrafica;I bought a new camera;;
Chiaro;Clear / Light;Açık / Anlaşılır /Açık renkli;"Che e’ facile de capire, vedere o distinguere; può anche indicare un colore non scuro";La spiegazione e’ molto chiara;The explanation is very clear;;
Nero;Black;Siyah;Il colore piu scuro, opposto al bianco;Ho comprato uno zaino nero;I bought a black backpack;;
Macchina;Car / Machine;Araba / Makine;"Un veicole a motore usato per trasportare persone; pıo anche indicare un apparecchio che svolge un lavoro";Vado al lavoro in macchina;I go to work by car;;
Rossa;Red;Kırmızı;Forma femminile di “rosso”, il colore del sangue e del fuoco;La mia macchina e’ rossa;My car is red;;
Tipo;Type / Kind / Like;Tür / Tip;Una categoria di persone o cose che hanno caratteristiche simili;Che tipo di musica ti piace;What kind of music do you like;;
Pero;But / However;Ama / Ancak / Fakat;Per introdurre un’idea in contrasto con cio che e’ stato detto prima;Vorrei uscire pero sono molto stanco;I would like to go out but I am very tired;;
Purtroppo;Unfortunatelly;Ne yazık ki / Maalesef;Per introdurre una situazione negativa o spiacevole ;Purtroppo oggi non posso venire;Unfortunately, I can’t come today;;
Rumoroso;Noisy / Loud;Gürültülü;Che produce molto rumore o in cui ci sono molti suoni forti;Questo ristorante e’ troppo rumoroso;This restaurant is too noisy;;
Speriamo;Let’s hope /         We hope;Umarım / Umalım;"Forma del verbo “sperare”; per esprimere un desiderio condiviso o la speranza che qualcosa accada";Speriamo che domani faccia bel tempo;Let’s hope the weather is nice tomorrow;;
Infatti;In fact / Indeed;Gerçekten / Nitekim / Zaten;Per confermare o spiegare meglio cio che e’ stato detto prima;"Non esco stasera; infatti sono molto stanco";Im not going out tonight in fact Im very tired;;
Ci sono;There are;Var / Bulunuyor;Per indicare la presenza di piu persone o cose;Ci sono molte persone in questo edificio;There are many people on this building;;
Vacanza;Vacation / Holiday;Tatil;Un periodo di riposo durante il quale non si lavora o non si studia, spesso dedicato a viaggiare o rilassarsi;Questa estate voglio andare in vacanza  in Italia;This summer I want to go on vacation in Italy;;
